date,volume,chlorine,cholera,chol_highcov,chol_lowcov,rain
23/05/2009,4573,0.2,1,1,0,0
24/05/2009,5256,0.2,1,1,0,0
25/05/2009,4579,0.3,1,1,0,0
26/05/2009,4364,0.3,1,0,1,0
27/05/2009,4567,0.2,2,0,2,0
28/05/2009,4420,0.4,1,1,0,0
29/05/2009,3986,0.1,2,1,1,0
30/05/2009,3859,0.2,4,3,1,1.159
31/05/2009,4733,0.4,1,1,0,0
01/06/2009,5274,0.2,1,1,0,0.033
02/06/2009,3084,0.25,2,2,0,0
03/06/2009,4438,0.24,0,0,0,0.415
04/06/2009,4334,0.32,2,0,2,0
05/06/2009,4243,0.25,1,0,1,0.761
06/06/2009,3968,0.52,0,0,0,0
07/06/2009,4695,0.2,1,0,1,0
08/06/2009,4590,0.22,1,1,0,0
09/06/2009,3577,0.4,0,0,0,0
10/06/2009,4017,0.2,1,0,1,0.053
11/06/2009,4108,0.2,0,0,0,0
12/06/2009,4251,0.28,2,1,1,0
13/06/2009,3321,0.2,1,0,1,0.81
14/06/2009,4037,0.2,0,0,0,0
15/06/2009,4121,0.26,1,0,1,0
16/06/2009,4221,0.3,0,0,0,0
17/06/2009,2915,0.3,1,1,0,0
18/06/2009,2384,0.2,1,0,1,0
19/06/2009,0,0,1,1,0,0
20/06/2009,1487,0.3,2,0,2,0
21/06/2009,4618,0.32,0,0,0,0.518
22/06/2009,4001,0.3,1,1,0,0
23/06/2009,3593,0.42,1,0,1,0
24/06/2009,3900,0.3,1,0,1,0
25/06/2009,4762,0.3,0,0,0,0
26/06/2009,3763,0.35,1,0,1,0
27/06/2009,3594,0.3,0,0,0,0
28/06/2009,4224,0.3,1,1,0,0.128
29/06/2009,4545,0.36,0,0,0,0.452
30/06/2009,4150,0.4,0,0,0,0.089
01/07/2009,4306,0.3,4,2,2,0
02/07/2009,3451,0.36,1,1,0,0
03/07/2009,4083,0.36,0,0,0,0
04/07/2009,3797,0.4,1,0,1,0
05/07/2009,3215,0.4,1,1,0,0
06/07/2009,4227,0.32,0,0,0,0
07/07/2009,3732,0.4,2,2,0,3.547
08/07/2009,2905,0.4,0,0,0,0
09/07/2009,4206,0.3,1,0,1,0
10/07/2009,3761,0.36,1,1,0,0
11/07/2009,3055,0.4,0,0,0,0
12/07/2009,3484,0.5,1,1,0,0
13/07/2009,1425,0.6,0,0,0,0
14/07/2009,4153,0.5,0,0,0,0
